pdb_id,entity_id,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,status,revision_date,release_date,processing_site,deposition_site,deposition_date,superseded_by,obsoletes,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph
1caq,1,Protein Sci.,8,,,X-ray structure of human stromelysin catalytic domain complexed with nonpeptide inhibitors: implications for inhibitor selectivity.,10.1110/ps.8.7.1455,1455-62,1999,10422833,"Pavlovsky\, A.G.,Williams\, M.G.,Ye\, Q.Z.,Ortwine\, D.F.,Purchase II\, C.F.,White\, A.D.,Dhanaraj\, V.,Roth\, B.D.,Johnson\, L.L.,Hupe\, D.,Humblet\, C.,Blundell\, T.L.",REL,2018-01-31T01:00:00Z,1999-07-07T01:00:00Z,RCSB,BNL,1999-02-23T01:00:00Z,,,PF00413,Peptidase_M10,Peptidase_MA,Matrixin,"IPR033739,IPR021190,IPR001818,IPR006026,IPR024079","Peptidase M10A\, catalytic domain,Peptidase M10A,Peptidase M10\, metallopeptidase,Peptidase\, metallopeptidase,Metallopeptidase\, catalytic domain superfamily",3.40.390.10,Alpha Beta,3-Layer(aba) Sandwich,Collagenase (Catalytic Domain),Collagenase (Catalytic Domain),3.4.24.17,Stromelysin 1,,"Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases,Stromelysin 1","GO:0006508,GO:0008237,GO:0004222,GO:0008270,GO:0031012",proteolysis,"metallopeptidase activity,metalloendopeptidase activity,zinc ion binding",extracellular matrix,Alpha and beta proteins (a+b),Zincin-like,"Metalloproteases (""zincins"")\, catalytic domain","Matrix metalloproteases\, catalytic domain",P08254,MMP3_HUMAN,0.37,,,X-ray diffraction,,X-RAY STRUCTURE OF HUMAN STROMELYSIN CATALYTIC DOMAIN COMPLEXES WITH NON-PEPTIDE INHIBITORS: IMPLICATION FOR INHIBITOR SELECTIVITY,"Pavlovsky\, A.G.,White\, A.D.,Roth\, B.D.,Hupe\, D.,Johnson\, L.L.,Ye\, Q.-Z.,Ortwine\, D.F.,Blundell\, T.L.,Williams\, M.G.,Purchase II\, C.F.,Dhanaraj\, V.,Humblet\, C.",Engineered,Image plate,MAR scanner 300 mm plate,,Rotating anode,Single wavelength,OTHER,,P 41 21 2,,,,,,,,,,
5q1c,2,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,,,,,,,,,,,,2.3.1.48,Histone acetyltransferase,Acetyl-CoA:[protein]-L-lysine acetyltransferase,"Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Histone acetyltransferase",,,,,,,,,Q15788,NCOA1_HUMAN,"0.01,0.01",,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Synthetic,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 2 2 21,,SLS,,,,MR,,,,
5nzv,4,Elife,6,,,9Å structure of the COPI coat reveals that the Arf1 GTPase occupies two contrasting molecular environments.,10.7554/eLife.26691,,2017,28621666,"Dodonova\, S.O.,Aderhold\, P.,Kopp\, J.,Ganeva\, I.,Rohling\, S.,Hagen\, W.J.,Sinning\, I.,Wieland\, F.,Briggs\, J.A.",REL,2018-01-31T01:00:00Z,2017-06-28T01:00:00Z,PDBE,PDBE,2017-05-15T01:00:00Z,,,"PF00400,PF04053","WD40,Coatomer_WDAD","Beta_propeller,Beta_propeller","WD domain\, G-beta repeat,Coatomer WD associated region","IPR020472,IPR016453,IPR006692,IPR001680,IPR015943,IPR036322,IPR017986","G-protein beta WD-40 repeat,Coatomer beta' subunit (COPB2),Coatomer\, WD associated region,WD40 repeat,WD40/YVTN repeat-like-containing domain superfamily,WD40-repeat-containing domain superfamily,WD40-repeat-containing domain",,,,,,,,,,"GO:1901998,GO:0006888,GO:0016192,GO:0006886,GO:0006890,GO:0006891,GO:0015031,GO:0005198,GO:0030126,GO:0000139,GO:0005829,GO:0005794,GO:0016020,GO:0030117,GO:0031410,GO:0030663,GO:0005737","toxin transport,ER to Golgi vesicle-mediated transport,vesicle-mediated transport,intracellular protein transport,retrograde vesicle-mediated transport\, Golgi to ER,intra-Golgi vesicle-mediated transport,protein transport",structural molecule activity,"COPI vesicle coat,Golgi membrane,cytosol,Golgi apparatus,membrane,membrane coat,cytoplasmic vesicle,COPI-coated vesicle membrane,cytoplasm",,,,,O55029,COPB2_MOUSE,"1.0,1.0",,emd-3724,Electron Microscopy,,The structure of the COPI coat linkage IV,"Dodonova\, S.O.,Roehling\, S.,Sinning\, I.,Wieland\, F.,Hagen\, W.J.H.,Kopp\, J.,Ganeva\, I.,Briggs\, J.A.G.,Aderhold\, P.",Engineered,,,,,,,,,,,,,,,,,,
2oj8,1,Nucleic Acids Res.,35,,,"Thermodynamics and NMR studies on Duck, Heron and Human HBV encapsidation signals.",10.1093/nar/gkm131,2800-11,2007,17430968,"Girard\, F.C.,Ottink\, O.M.,Ampt\, K.A.,Tessari\, M.,Wijmenga\, S.S.",REL,2018-01-31T01:00:00Z,2007-05-22T01:00:00Z,RCSB,RCSB,2007-01-12T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solution NMR,y,NMR structure of the UGUU tetraloop of Duck Epsilon apical stem loop of the Hepatitis B virus,"Tessari\, M.,Ottink\, O.M.,Ampt\, K.A.M.,Girard\, F.C.,Wijmenga\, S.S.",Synthetic,,,,,Single wavelength,,,,,,,,,,,,,
1f35,1,J. Mol. Biol.,319,,,The crystal structure of the olfactory marker protein at 2.3 A resolution.,10.1016/S0022-2836(02)00242-5,807-21,2002,12054872,"Smith\, P.C.,Firestein\, S.,Hunt\, J.F.",REL,2018-01-31T01:00:00Z,2001-08-15T01:00:00Z,RCSB,RCSB,2000-05-31T01:00:00Z,,,PF06554,Olfactory_mark,,Olfactory marker protein,"IPR036727,IPR009103","Olfactory marker superfamily,Olfactory marker protein",2.60.120.390,Mainly Beta,Sandwich,Jelly Rolls,Olfactory marker protein,,,,,"GO:0007165,GO:0007608,GO:0007268,GO:0022008,GO:0050896,GO:0004871,GO:0043025,GO:0030424,GO:0005829,GO:0005634,GO:0005737","signal transduction,sensory perception of smell,chemical synaptic transmission,neurogenesis,response to stimulus",signal transducer activity,"neuronal cell body,axon,cytosol,nucleus,cytoplasm",All beta proteins,Olfactory marker protein,Olfactory marker protein,Olfactory marker protein,Q64288,OMP_MOUSE,"0.99,0.99",,,X-ray diffraction,y,CRYSTAL STRUCTURE OF MURINE OLFACTORY MARKER PROTEIN,"Northeast Structural Genomics Consortium (NESG),Smith\, P.C.,Hunt\, J.F.",Engineered,CCD,BRANDEIS,X12C,Synchrotron,MAD,MAD,,P 32 2 1,,NSLS,,,,,NESG,Northeast Structural Genomics Consortium,,
2f57,1,Structure,15,,,"Crystal Structures of the p21-activated kinases PAK4, PAK5, and PAK6 reveal catalytic domain plasticity of active group II PAKs.",10.1016/j.str.2007.01.001,201-13,2007,17292838,"Eswaran\, J.,Lee\, W.H.,Debreczeni\, J.E.,Filippakopoulos\, P.,Turnbull\, A.,Fedorov\, O.,Deacon\, S.W.,Peterson\, J.R.,Knapp\, S.",REL,2018-01-31T01:00:00Z,2005-12-13T01:00:00Z,RCSB,RCSB,2005-11-25T01:00:00Z,,,PF00069,Pkinase,PKinase,Protein kinase domain,"IPR028754,IPR000719,IPR011009,IPR017441,IPR029033","Serine/threonine-protein kinase PAK5,Protein kinase domain,Protein kinase-like domain superfamily,Protein kinase\, ATP binding site,Histidine phosphatase superfamily","1.10.510.10,3.30.200.20","Mainly Alpha,Alpha Beta","Orthogonal Bundle,2-Layer Sandwich","Transferase(Phosphotransferase); domain 1,Phosphorylase Kinase; domain 1","Transferase(Phosphotransferase) domain 1,Phosphorylase Kinase; domain 1",2.7.11.1,Non-specific serine/threonine protein kinase,ATP:protein phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase","GO:0006468,GO:0006915,GO:0016049,GO:0007010,GO:0005524,GO:0004674,GO:0004672","protein phosphorylation,apoptotic process,cell growth,cytoskeleton organization","ATP binding,protein serine/threonine kinase activity,protein kinase activity",,,,,,Q9P286,PAK5_HUMAN,"0.41,0.41",,,X-ray diffraction,y,Crystal Structure Of The Human P21-Activated Kinase 5,"Structural Genomics Consortium (SGC),Papagrigoriou\, E.,Smee\, C.,Arrowsmith\, C.,Ugochukwu\, E.,Bray\, J.,Eswaran\, J.,Turnbull\, A.,Burgess\, N.,Fedorov\, O.,Filippakopoulos\, P.,Weigelt\, J.,Sundstrom\, M.,Das\, S.,Savitsky\, P.,von Delft\, F.,Edwards\, A.,Knapp\, S.",Engineered,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,SLS,,,,,SGC,Structural Genomics Consortium,"DISODIUM HYDROGEN-POTASSIUM DIHYDROGEN PHOSPHATE,BIS-TRIS PROPANE,POLYETHYLENE GLYCOL 3350,ETHYLENE GLYCOL",8.0
1fm9,1,Mol. Cell,5,,,Asymmetry in the PPARgamma/RXRalpha crystal structure reveals the molecular basis of heterodimerization among nuclear receptors.,10.1016/S1097-2765(00)80448-7,545-55,2000,10882139,"Gampe Jr.\, R.T.,Montana\, V.G.,Lambert\, M.H.,Miller\, A.B.,Bledsoe\, R.K.,Milburn\, M.V.,Kliewer\, S.A.,Willson\, T.M.,Xu\, H.E.",REL,2018-01-31T01:00:00Z,2001-02-16T01:00:00Z,RCSB,RCSB,2000-08-16T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000003,IPR000536,IPR001723","Nuclear hormone receptor-like domain superfamily,Retinoid X receptor/HNF4,Nuclear hormone receptor\, ligand-binding domain,Nuclear hormone receptor",1.10.565.10,Mainly Alpha,Orthogonal Bundle,Retinoid X Receptor,Retinoid X Receptor,,,,,"GO:0006355,GO:0043401,GO:0003707,GO:0008270,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","steroid hormone receptor activity,zinc ion binding,DNA binding",nucleus,All alpha proteins,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,P19793,RXRA_HUMAN,0.52,,,X-ray diffraction,y,THE 2.1 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF THE HETERODIMER OF THE HUMAN RXRALPHA AND PPARGAMMA LIGAND BINDING DOMAINS RESPECTIVELY BOUND WITH 9-CIS RETINOIC ACID AND GI262570 AND CO-ACTIVATOR PEPTIDES.,"Milburn\, M.V.,Willson\, T.M.,Bledsoe\, R.K.,Gampe Jr.\, R.T.,Kliewer\, S.A.,Xu\, H.E.,Montana\, V.G.,Lambert\, M.H.,Miller\, A.B.",Engineered,CCD,MARRESEARCH,17-ID,Synchrotron,Single wavelength,,,P 21 21 21,,APS,,,,,,,"POLYETHYLENE GLYCOL 4000,SODIUM THIOCYANATE,ETHYLENE GLYCOL",7.5
1pzs,1,J. Biol. Chem.,279,,,"Unique features of the sodC-encoded superoxide dismutase from Mycobacterium tuberculosis, a fully functional copper-containing enzyme lacking zinc in the active site.",10.1074/jbc.M404699200,33447-55,2004,15155722,"Spagnolo\, L.,Toro\, I.,D'Orazio\, M.,O'Neill\, P.,Pedersen\, J.Z.,Carugo\, O.,Rotilio\, G.,Battistoni\, A.,Djinovic-Carugo\, K.",REL,2018-01-31T01:00:00Z,2004-07-27T01:00:00Z,RCSB,RCSB,2003-07-14T01:00:00Z,,,PF00080,Sod_Cu,,Copper/zinc superoxide dismutase (SODC),"IPR018152,IPR024134,IPR036423,IPR001424","Superoxide dismutase\, copper/zinc\, binding site,Superoxide dismutase (Cu/Zn) / superoxide dismutase copper chaperone,Superoxide dismutase-like\, copper/zinc binding domain superfamily,Superoxide dismutase\, copper/zinc binding domain",2.60.40.200,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulin-like,1.15.1.1,Superoxide dismutase,Superoxide:superoxide oxidoreductase,"Oxidoreductases,Acting on superoxide as acceptor,Acting on superoxide as acceptor,Superoxide dismutase","GO:0033194,GO:0045454,GO:0019430,GO:0006801,GO:0052060,GO:0075136,GO:0052059,GO:0006979,GO:0055114,GO:0098869,GO:0016209,GO:0046872,GO:0016491,GO:0004784,GO:0005618,GO:0005615,GO:0016020,GO:0005576,GO:0005737,GO:0005886","response to hydroperoxide,cell redox homeostasis,removal of superoxide radicals,superoxide metabolic process,evasion or tolerance by symbiont of host-produced nitric oxide,response to host,evasion or tolerance by symbiont of host-produced reactive oxygen species,response to oxidative stress,oxidation-reduction process,cellular oxidant detoxification","antioxidant activity,metal ion binding,oxidoreductase activity,superoxide dismutase activity","cell wall,extracellular space,membrane,extracellular region,cytoplasm,plasma membrane",All beta proteins,Immunoglobulin-like beta-sandwich,"Cu\,Zn superoxide dismutase-like","Cu\,Zn superoxide dismutase-like",P9WGE9,SODC_MYCTU,1.0,,,X-ray diffraction,y,Crystal Structure of a Cu-Zn Superoxide Dismutase from Mycobacterium tuberculosis at 1.63 resolution,"Toro\, I.,Spagnolo\, L.,Djinovic-Carugo\, K.",Engineered,CCD,MARRESEARCH,ID13,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,ESRF,,,,,,,,
5q11,1,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000536,IPR001728,IPR001723","Nuclear hormone receptor-like domain superfamily,Nuclear hormone receptor\, ligand-binding domain,Thyroid hormone receptor,Nuclear hormone receptor",,,,,,,,,,"GO:0006355,GO:0043401,GO:0004887,GO:0003707,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","thyroid hormone receptor activity,steroid hormone receptor activity,DNA binding",nucleus,,,,,Q96RI1,NR1H4_HUMAN,0.47,,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Engineered,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 65,,SLS,,,,MR,,,,
1ec7,1,Biochemistry,39,,,Evolution of enzymatic activities in the enolase superfamily: crystallographic and mutagenesis studies of the reaction catalyzed by D-glucarate dehydratase from Escherichia coli.,10.1021/bi992782i,4590-602,2000,10769114,"Gulick\, A.M.,Hubbard\, B.K.,Gerlt\, J.A.,Rayment\, I.",REL,2018-01-31T01:00:00Z,2000-05-23T01:00:00Z,RCSB,RCSB,2000-01-25T01:00:00Z,,,PF13378,MR_MLE_C,Enolase_TIM,Enolase C-terminal domain-like,"IPR017653,IPR013342,IPR034598,IPR029017,IPR036849,IPR029065,IPR034390","Glucarate dehydratase,Mandelate racemase/muconate lactonizing enzyme\, C-terminal,D-Glucarate dehydratase-like,Enolase-like\, N-terminal,Enolase-like\, C-terminal domain superfamily,Enolase C-terminal domain-like,Enolase-like superfamily","3.30.390.10,3.20.20.120","Alpha Beta,Alpha Beta","2-Layer Sandwich,Alpha-Beta Barrel","Enolase-like; domain 1,TIM Barrel","Enolase-like\, N-terminal domain,Enolase superfamily",4.2.1.40,Glucarate dehydratase,D-glucarate hydro-lyase (5-dehydro-4-deoxy-D-glucarate-forming),"Lyases,Carbon-oxygen lyases,Hydro-lyases,Glucarate dehydratase","GO:0042838,GO:0019394,GO:0000287,GO:0008872,GO:0016829,GO:0046872","D-glucarate catabolic process,glucarate catabolic process","magnesium ion binding,glucarate dehydratase activity,lyase activity,metal ion binding",,"Alpha and beta proteins (a+b),Alpha and beta proteins (a/b)","Enolase N-terminal domain-like,TIM beta/alpha-barrel","Enolase N-terminal domain-like,Enolase C-terminal domain-like","Enolase N-terminal domain-like,D-glucarate dehydratase-like",P0AES2,GUDD_ECOLI,"1.0,1.0,1.0,1.0",,,X-ray diffraction,y,E. COLI GLUCARATE DEHYDRATASE NATIVE ENZYME,"Hubbard\, B.K.,Gulick\, A.M.,Gerlt\, J.A.,Rayment\, I.",Engineered,CCD,OTHER,19-ID,Synchrotron,Single wavelength,,,P 1,,APS,,,,,,,"POLYETHYLENE GLYCOL MONOMETHYL ETHER 5000,MAGNESIUM CHLORIDE,2-PROPANOL,EPPS",8.0
5nzv,6,Elife,6,,,9Å structure of the COPI coat reveals that the Arf1 GTPase occupies two contrasting molecular environments.,10.7554/eLife.26691,,2017,28621666,"Dodonova\, S.O.,Aderhold\, P.,Kopp\, J.,Ganeva\, I.,Rohling\, S.,Hagen\, W.J.,Sinning\, I.,Wieland\, F.,Briggs\, J.A.",REL,2018-01-31T01:00:00Z,2017-06-28T01:00:00Z,PDBE,PDBE,2017-05-15T01:00:00Z,,,PF00025,Arf,P-loop_NTPase,ADP-ribosylation factor family,"IPR027417,IPR005225,IPR006689,IPR024156","P-loop containing nucleoside triphosphate hydrolase,Small GTP-binding protein domain,Small GTPase superfamily\, ARF/SAR type,Small GTPase superfamily\, ARF type",,,,,,,,,,"GO:0006888,GO:0016192,GO:0015031,GO:0006893,GO:0007264,GO:0016236,GO:0003924,GO:0005525,GO:0005515,GO:0000166,GO:0005794,GO:0005622","ER to Golgi vesicle-mediated transport,vesicle-mediated transport,protein transport,Golgi to plasma membrane transport,small GTPase mediated signal transduction,macroautophagy","GTPase activity,GTP binding,protein binding,nucleotide binding","Golgi apparatus,intracellular",,,,,P11076,ARF1_YEAST,"1.0,1.0,1.0,1.0,1.0",,emd-3724,Electron Microscopy,,The structure of the COPI coat linkage IV,"Dodonova\, S.O.,Roehling\, S.,Sinning\, I.,Wieland\, F.,Hagen\, W.J.H.,Kopp\, J.,Ganeva\, I.,Briggs\, J.A.G.,Aderhold\, P.",Engineered,,,,,,,,,,,,,,,,,,
1ot6,1,Acta Crystallogr. D Biol. Crystallogr.,60,,,Short hydrogen bonds in photoactive yellow protein.,10.1107/S090744490400616X,1008-16,2004,15159559,"Anderson\, S.,Crosson\, S.,Moffat\, K.",REL,2018-01-31T01:00:00Z,2004-05-11T01:00:00Z,RCSB,RCSB,2003-03-21T01:00:00Z,,,PF00989,PAS,PAS_Fold,PAS fold,"IPR035965,IPR000014,IPR013767,IPR012130","PAS domain superfamily,PAS domain,PAS fold,Photoactive yellow-protein",3.30.450.20,Alpha Beta,2-Layer Sandwich,Beta-Lactamase,Beta-Lactamase,,,,,"GO:0007602,GO:0006355,GO:0018298,GO:0050896,GO:0009881,GO:0042802","phototransduction,regulation of transcription\, DNA-templated,protein-chromophore linkage,response to stimulus","photoreceptor activity,identical protein binding",,Alpha and beta proteins (a+b),Profilin-like,PYP-like sensor domain (PAS domain),PYP-like,P16113,PYP_HALHA,1.0,,,X-ray diffraction,y,CRYOTRAPPED CRYSTAL STRUCTURE OF THE E46Q MUTANT OF PHOTOACTIVE YELLOW PROTEIN UNDER CONTINUOUS ILLUMINATION AT 110K,"Anderson\, S.,Crosson\, S.,Moffat\, K.",Engineered,CCD,ADSC QUANTUM 4,14-BM-C,Synchrotron,"Single wavelength,Single wavelength",MOLECULAR REPLACEMENT,,P 63,,APS,,,,,,,,
1rv9,1,To be published,,,,"Crystal Structure of a hypothetical protein, NMB0706",,,,,"Eswaramoorthy\, S.,Swaminathan\, S.",REL,2018-01-31T01:00:00Z,2004-08-17T01:00:00Z,RCSB,RCSB,2003-12-13T01:00:00Z,,,PF02578,Cu-oxidase_4,,Multi-copper polyphenol oxidoreductase laccase,"IPR003730,IPR011324","Multi-copper polyphenol oxidoreductase,Cytotoxic necrotizing factor-like\, catalytic",3.60.140.10,Alpha Beta,4-Layer Sandwich,CNF1/YfiH-like putative cysteine hydrolases,CNF1/YfiH-like putative cysteine hydrolases,,,,,,,,,Alpha and beta proteins (a+b),CNF1/YfiH-like putative cysteine hydrolases,CNF1/YfiH-like putative cysteine hydrolases,YfiH-like,Q9K0A8,Q9K0A8_NEIMB,1.0,,,X-ray diffraction,,"Crystal Structure of Neisseria meningitidis protein NMB0706, Pfam DUF152","New York SGX Research Center for Structural Genomics (NYSGXRC),Burley\, S.K.,Swaminathan\, S.,Eswaramoorthy\, S.",Engineered,CCD,BRANDEIS - B4,X12C,Synchrotron,"MAD,Single wavelength",MAD,,C 1 2 1,,NSLS,,,,,NYSGXRC,New York SGX Research Center for Structural Genomics,,
6eu1,6,Nature,553,,,Structural basis of RNA polymerase III transcription initiation.,10.1038/nature25441,301-306,2018,29345637,"Abascal-Palacios\, G.,Ramsay\, E.P.,Beuron\, F.,Morris\, E.,Vannini\, A.",REL,2018-01-31T01:00:00Z,2018-01-17T01:00:00Z,PDBE,PDBE,2017-10-27T01:00:00Z,,,PF01192,RNA_pol_Rpb6,,RNA polymerase Rpb6,,,,,,,,,,,,,,,,,,,,P20435,RPAB2_YEAST,1.0,,emd-3956,Electron Microscopy,,RNA Polymerase III - open DNA complex (OC-POL3),"Morris\, E.,Abascal-Palacios\, G.,Beuron\, F.,Ramsay\, E.P.,Vannini\, A.",Natural,,,,,,,,P 1,,,,,,,,,,
1p93,1,J. Biol. Chem.,278,,,The three-dimensional structures of antagonistic and agonistic forms of the glucocorticoid receptor ligand-binding domain: RU-486 induces a transconformation that leads to active antagonism.,10.1074/jbc.M212711200,22748-54,2003,12686538,"Kauppi\, B.,Jakob\, C.,Farnegardh\, M.,Yang\, J.,Ahola\, H.,Alarcon\, M.,Calles\, K.,Engstrom\, O.,Harlan\, J.,Muchmore\, S.,Ramqvist\, A.-K.,Thorell\, S.,Ohman\, L.,Greer\, J.,Gustafsson\, J.-A.,Carlstedt-Duke\, J.,Carlquist\, M.",REL,2018-01-31T01:00:00Z,2003-07-08T01:00:00Z,RCSB,RCSB,2003-05-09T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000536,IPR001723","Nuclear hormone receptor-like domain superfamily,Nuclear hormone receptor\, ligand-binding domain,Nuclear hormone receptor",1.10.565.10,Mainly Alpha,Orthogonal Bundle,Retinoid X Receptor,Retinoid X Receptor,,,,,"GO:0006355,GO:0043401,GO:0003707,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","steroid hormone receptor activity,DNA binding",nucleus,All alpha proteins,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,P04150,GCR_HUMAN,"0.36,0.36,0.36,0.36",,,X-ray diffraction,y,CRYSTAL STRUCTURE OF THE AGONIST FORM OF GLUCOCORTICOID RECEPTOR,"Jakob\, C.,Harlan\, J.,Ramqvist\, A.-K.,Ohman\, L.,Muchmore\, S.,Gustafsson\, J.-A.,Yang\, J.,Ahola\, H.,Alarcon\, M.,Farnegardh\, M.,Engstrom\, O.,Greer\, J.,Calles\, K.,Thorell\, S.,Carlstedt-Duke\, J.,Carlquist\, M.,Kauppi\, B.",Engineered,CCD,ADSC QUANTUM 4,ID14-4,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 31,,ESRF,,,,,,,,
